X,Y,altitud,pendiente,distancia_sitios_nuevos,distancia_mincul,presencia_sitio_nuevo,presencia_total_rec
342825.0,8565625.0,378.0,14.187087,1879.1620472966133,5471.85983007606,0,0
342825.0,8565875.0,334.0,15.578738,1629.8006013006625,5711.06382384228,0,0
342825.0,8566125.0,333.0,17.148108,1380.6701271484076,5951.155350013979,0,0
342825.0,8566375.0,363.0,14.59691,1131.9231422671771,6192.031169172196,0,0
342825.0,8566625.0,350.0,9.352981,883.8834764831844,6433.603189504308,0,0
342825.0,8566875.0,321.0,14.516029,637.3774391990981,6675.795832707888,0,0
342825.0,8567125.0,347.0,18.395275,395.2847075210474,6899.003551238396,0,0
342825.0,8567375.0,357.0,3.8097708,176.7766952966369,7121.885284108415,0,1
342825.0,8567625.0,316.0,4.970758,176.7766952966369,7346.512778182585,0,1
342825.0,8567875.0,315.0,11.857565,395.2847075210474,7572.730683181596,0,0
342825.0,8568125.0,296.0,9.083807,637.3774391990981,7800.40063073686,0,0
342825.0,8568375.0,269.0,6.4501977,883.8834764831844,8029.399105786186,0,0
342825.0,8568625.0,279.0,10.235647,1131.9231422671771,8259.615608489295,0,0
342825.0,8568875.0,293.0,8.320585,1380.6701271484076,8490.951065693407,0,0
342825.0,8569125.0,286.0,7.0121818,1629.8006013006625,8723.31645648603,0,0
342825.0,8569375.0,303.0,11.042498,1879.1620472966133,8956.631621318362,0,0
342825.0,8569625.0,348.0,14.730549,2128.6732957408003,9190.824228544468,0,0
342825.0,8569875.0,326.0,4.131203,2378.287198805056,9425.82887601934,0,0
342825.0,8570125.0,318.0,5.8323207,2627.97450520358,9661.586308676233,0,0
342825.0,8570375.0,321.0,4.131203,2877.7161083053347,9898.042735813986,0,0
342825.0,8570625.0,329.0,7.0121818,3127.499000799201,10135.149234224427,0,0
343075.0,8554125.0,5.0,0.92528886,3133.8873623664267,625.4998001598402,0,0
343075.0,8554375.0,5.0,1.3084424,3232.065902793444,682.8250141873832,0,0
343075.0,8554625.0,7.0,0.92528886,3346.079795820775,816.2413858657254,0,0
343075.0,8554875.0,7.0,0.92528886,3474.3704465701408,995.6153875869938,0,0
343075.0,8555125.0,6.0,2.7739387,3615.418371364509,1096.0155108391486,0,0
343075.0,8555375.0,8.0,1.8500954,3767.7911300920064,936.0822613424529,0,0
343075.0,8555625.0,8.0,0.92528886,3930.1717519721706,822.3442101699263,0,0
343075.0,8555875.0,9.0,2.0682898,4101.37172175359,775.4031209635411,0,0
343075.0,8556125.0,10.0,2.0682898,4280.332930976281,807.0006195784487,0,0
343075.0,8556375.0,9.0,2.0682898,4466.122479287822,908.982948134892,0,0
343075.0,8556625.0,8.0,2.0682898,4657.92335703369,1061.2492638395563,0,0
343075.0,8556875.0,10.0,0.92528886,4855.023171932344,1245.4918707081151,0,0
343075.0,8557125.0,8.0,0.0,5056.802349311272,1449.5689014324223,0,0
343075.0,8557375.0,8.0,1.8500954,5262.722679374242,1666.2082702951634,0,0
343075.0,8557625.0,8.0,2.0682898,5283.713416461513,1758.1950972517243,0,0
343075.0,8557875.0,8.0,0.92528886,5160.008960001504,1648.104972384951,0,0
343075.0,8558125.0,4.0,2.0682898,5045.667197437442,1402.230366238016,0,0
343075.0,8558375.0,7.0,1.3084424,4941.33812517385,1158.1234821900468,0,0
343075.0,8558625.0,6.0,1.8500954,4847.66825054036,917.1968163922072,0,0
343075.0,8558875.0,6.0,2.0682898,4765.286189443132,682.8250141873832,0,0
343075.0,8559125.0,9.0,0.92528886,4694.786200382063,465.0268809434568,0,0
343075.0,8559375.0,9.0,0.92528886,4636.710306596506,302.0761493398643,0,0
343075.0,8559625.0,12.0,3.8097708,4591.529970205865,302.0761493398643,0,0
343075.0,8559875.0,50.0,12.259013,4559.628544881598,465.0268809434568,0,0
343075.0,8560125.0,59.0,5.610798,4541.285882577697,682.8250141873832,0,0
343075.0,8560375.0,48.0,23.107824,4536.666448759474,917.1968163922072,0,0
343075.0,8560625.0,58.0,23.225906,4545.812080068897,1158.1234821900468,0,0
343075.0,8560875.0,112.0,14.159269,4568.640111378956,1402.230366238016,0,0
343075.0,8561125.0,92.0,11.042498,4604.94706454929,1648.104972384951,0,0
343075.0,8561375.0,81.0,18.415493,4654.417521806734,1895.0593658247224,0,0
343075.0,8561625.0,78.0,18.950909,4716.637305040737,2142.720233721612,0,0
343075.0,8561875.0,35.0,4.131203,4791.109732337839,2385.634087616959,0,0
343075.0,8562125.0,31.0,1.3084424,4877.273569044776,2547.7931627194544,0,0
343075.0,8562375.0,38.0,2.9237342,4974.5213304702165,2723.279273229244,0,0
343075.0,8562625.0,41.0,1.8500954,4889.401803901987,2909.682113221305,0,0
343075.0,8562875.0,63.0,21.35391,4640.177798317646,3105.036231672668,0,0
343075.0,8563125.0,62.0,3.3327029,4391.042017562574,3307.756036953149,0,0
343075.0,8563375.0,70.0,13.501044,4142.010381445223,3516.567929103602,0,0
343075.0,8563625.0,87.0,0.92528886,3893.1028755993593,3730.449034633767,0,0
343075.0,8563875.0,97.0,2.9237342,3644.344934278313,3948.575692575742,0,0
343075.0,8564125.0,119.0,14.730549,3395.769426801531,4170.281765060965,0,0
343075.0,8564375.0,139.0,4.7078524,3147.419578003543,4395.025597195084,0,0
343075.0,8564625.0,169.0,17.41094,2899.3533761858007,4622.364113740933,0,0
343075.0,8564875.0,213.0,19.856758,2651.650429449553,4851.932604643226,0,0
343075.0,8565125.0,260.0,25.913553,2404.4230077089182,5056.802349311272,0,0
343075.0,8565375.0,334.0,22.838871,2157.8345627040085,5262.722679374242,0,0
343075.0,8565625.0,318.0,13.820381,1912.1323175972943,5472.31669405198,0,0
343075.0,8565875.0,286.0,14.623752,1667.7080080157916,5685.178097474168,0,0
343075.0,8566125.0,299.0,12.928012,1425.2192813739225,5900.953312813109,0,0
343075.0,8566375.0,324.0,18.415493,1185.8541225631425,6119.334114100978,0,0
