x,y,lat,lon
346189.0,8550713.0,-13.105974519610578,-76.41885294489346
346250.0,8551029.0,-13.103121021294596,-76.41827400290435
347200.0,8551700.0,-13.097103306290533,-76.40947804765412
346794.0,8550269.0,-13.110018880035266,-76.41329614155251
348000.0,8549800.0,-13.114319369047939,-76.4021973993078
347750.0,8549800.0,-13.114306807009616,-76.40450315690735
348131.0,8550953.0,-13.103902914061392,-76.4009301965233
349206.0,8550539.0,-13.107699149444231,-76.39103684693245
350167.0,8551045.0,-13.10317260016142,-76.38214815604789
350882.0,8550700.0,-13.106326678720377,-76.37557124021173
349683.0,8549815.0,-13.1142678003319,-76.38667421697278
351565.0,8549437.0,-13.117777793408756,-76.3693351975681
351500.0,8548800.0,-13.123533105459986,-76.36996660687377
350000.0,8548000.0,-13.13069108347193,-76.38384230493236
352030.0,8551192.0,-13.101935260002469,-76.36495887925714
352637.0,8551305.0,-13.100943308474992,-76.35935507577243
352561.0,8550730.0,-13.106137658995841,-76.3600845459109
352887.0,8550347.0,-13.109615862118554,-76.35709685829822
353622.0,8549569.0,-13.116684682504527,-76.3503562919822
353886.0,8547839.0,-13.132336832306327,-76.34800659204433
359050.0,8549400.0,-13.118470125028795,-76.30029957497553
358300.0,8549000.0,-13.122051208160006,-76.30723636031932
358400.0,8549800.0,-13.114823674072472,-76.30627580209892
359300.0,8548500.0,-13.12661802523917,-76.29803638364122
360546.0,8549321.0,-13.119253616402922,-76.28650477498448
362200.0,8550600.0,-13.107766714921592,-76.27118940213306
362400.0,8550600.0,-13.107775807228366,-76.26934474420435
363200.0,8552800.0,-13.087923071744632,-76.26186481001359
364100.0,8551900.0,-13.096099950476152,-76.25360561683496
351021.0,8547469.0,-13.135541807014484,-76.37445157031169
350500.0,8546600.0,-13.143371826844705,-76.37930110873047
352100.0,8547100.0,-13.138930575653092,-76.36451734887392
353425.0,8547116.0,-13.138850500097906,-76.35229459083786
365383.0,8553877.0,-13.078284083806121,-76.24168309891029
364270.0,8552772.0,-13.088224267049885,-76.25199790653978
365336.0,8552335.0,-13.092222480584947,-76.24218635937127
361334.0,8549904.0,-13.114019292040386,-76.27920927093741
361723.0,8550203.0,-13.111334009704066,-76.27560739884863
361098.0,8549780.0,-13.115129478227374,-76.28139181837669
361172.0,8550129.0,-13.111977785417798,-76.28069295009364
360438.0,8548604.0,-13.125730557435249,-76.28753467599196
352226.0,8547158.0,-13.13841241788573,-76.36335221763994
346855.0,8550187.0,-13.11076323499483,-76.4127377794147
349084.0,8549389.0,-13.118089018979491,-76.39222051289445
351801.0,8549227.0,-13.119687767678748,-76.36716899138976
349683.0,8548957.0,-13.122024094650023,-76.38671769447514
352101.0,8549130.0,-13.12057932980098,-76.36440681502755
347108.0,8551035.0,-13.10311019541547,-76.41036072842279
354039.0,8549233.0,-13.119742300801663,-76.34652669525325
353522.0,8552670.0,-13.088646446591714,-76.35112569553176
355823.0,8549692.0,-13.115678379739638,-76.33004968697085
350113.0,8547041.0,-13.139366021545003,-76.38284854898224
369500.0,8559400.0,-13.02853221105982,-76.20347294869566
354500.0,8554000.0,-13.076670094862347,-76.34204124535934
352900.0,8551600.0,-13.09828925692458,-76.3569148969908
346000.0,8553000.0,-13.08529077135451,-76.42047752061869
351450.0,8552500.0,-13.090082500853132,-76.37024266916828
346200.0,8551400.0,-13.09976469684384,-76.418715922058
347000.0,8550500.0,-13.107941081698758,-76.41138433230685
348800.0,8551500.0,-13.09899151914267,-76.39473239124808
349400.0,8551200.0,-13.101733381097349,-76.38921409611689
350400.0,8551300.0,-13.100878910771263,-76.37998642333922
