alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
16,367305.9958760397,8555387.198317887,322.0,19.948001798733216,4511.312827393326,275.5944087358273,0.84,-13.064715656017166,-76.22388130644285
17,349905.9958760397,8549937.198317887,26.0,2.773938865193209,168.56397482057858,823.4604873305832,0.83,-13.11317419360436,-76.38461132328
18,350355.9958760397,8551287.198317887,34.0,2.92373461976007,1302.828959686285,2143.260836166419,0.83,-13.10099246560412,-76.38039290157897
19,363605.9958760397,8552537.198317887,212.0,7.012182338415013,430.76551729244375,84.69632259376812,0.81,-13.090317200966725,-76.25813253209
20,361305.9958760397,8549987.198317887,154.0,2.0682900365601222,407.6739279234284,415.1673625724122,0.81,-13.113265865718889,-76.27946367810681
21,350155.9958760397,8550237.198317887,30.0,2.0682900365601222,541.9562838200558,1099.9676323098993,0.8,-13.110474579157325,-76.38229041047678
22,350355.9958760397,8551337.198317887,35.0,2.923734619760068,1275.4664915373085,2193.213816214348,0.8,-13.100540465284032,-76.38039038290127
23,349455.9958760397,8551137.198317887,24.0,1.850095540772776,726.019628723634,2049.5500181171083,0.8,-13.10230388886187,-76.38870085039594
24,347055.9958760397,8550787.198317887,6.0,2.6155216134963046,327.9058583350297,877.8171704120005,0.79,-13.105347670016409,-76.41085310232454
25,346755.9958760397,8550387.198317887,6.0,2.0682900365601222,332.2939512256832,405.2399306031139,0.79,-13.108948459631929,-76.413640545462
26,351055.9958760397,8547637.198317887,58.0,1.8500955407727733,330.3083518335601,1127.781234110924,0.78,-13.134023017935272,-76.37412031361482
27,345655.9958760397,8554537.198317887,13.0,3.3327031799960194,1120.6276216928443,2298.105122934878,0.78,-13.071377244737956,-76.42357016729751
28,359155.9958760397,8548887.198317887,131.0,2.068290036560124,79.11708094661809,572.5243564997603,0.78,-13.123110937395758,-76.29934626696257
29,350505.9958760397,8550237.198317887,32.0,1.3084424638581322,726.9759420594524,1092.6341140077247,0.77,-13.11049187695575,-76.37906236854991
30,349655.9958760397,8549837.198317887,24.0,1.850095540772776,95.40336497111686,734.2564777838561,0.77,-13.114065787258053,-76.38692215385794
31,361905.9958760397,8550237.198317887,160.0,1.850095540772776,501.8683710222878,429.8008853620896,0.77,-13.111033194496368,-76.27391796237802
32,346755.9958760397,8550287.198317887,6.0,2.0682900365601222,295.06757790088903,373.41025398048254,0.77,-13.10985244679597,-76.4136457076558
33,350255.9958760397,8551387.198317887,34.0,2.773938865193212,1333.7014559589463,2245.649317640049,0.76,-13.100083525949154,-76.38131012322883
34,359255.9958760397,8548587.198317887,136.0,6.515123559663288,223.1138905698254,361.9562449541162,0.76,-13.125827679493703,-76.2984381327912
35,348655.9958760397,8550587.198317887,16.0,1.8500955407727733,194.2927644189948,1703.917271989374,0.75,-13.107236008909943,-76.3961069802909
36,350455.9958760397,8550287.198317887,33.0,1.850095540772776,741.6756330091109,1141.2140689976611,0.75,-13.110037408161883,-76.37952099869929
37,352855.9958760397,8550387.198317887,57.0,3.3327031799960194,415.8361349243175,1703.9368841142723,0.75,-13.109250959611522,-76.35738081787942
38,353155.9958760397,8552187.198317887,62.0,2.068290036560124,150.08592214273142,3372.835971085565,0.75,-13.092993332797487,-76.35452493074294
39,349105.9958760397,8549437.198317887,15.0,1.3084424638581322,774.6363978496233,561.9169462647088,0.74,-13.11765440532474,-76.39201518851577
40,350305.9958760397,8550087.198317887,30.0,2.773938865193209,494.1342644375808,945.1983178872616,0.74,-13.11183799701938,-76.38091452958773
41,346955.9958760397,8550737.198317887,6.0,1.8500955407727733,408.8892495948404,769.1231515438631,0.74,-13.10579461416412,-76.4117779456999
42,350555.9958760397,8551537.198317887,34.0,3.332703179996018,999.5893470980484,2393.546431804551,0.73,-13.098742330892378,-76.37853580026784
43,368355.9958760397,8557137.198317887,383.0,22.38013808675271,6402.839760309225,412.19419789835456,0.72,-13.048940207631524,-76.21412107249117
44,376055.9958760397,8566587.198317887,475.0,2.773938865193209,18527.37164168969,242.9398697209791,0.71,-12.963827055202271,-76.14272487319867
45,350705.9958760397,8551887.198317887,33.0,2.068290036560124,689.4773508694263,2752.938531243806,0.7,-13.095585715064448,-76.37713483336032
46,350105.9958760397,8550087.198317887,27.0,2.773938865193212,404.460790596484,955.8084060936555,0.7,-13.111828103257288,-76.38275913412575
47,351655.9958760397,8552237.198317887,42.0,2.6155216134963046,304.1029992420611,3272.3930742447724,0.7,-13.092468324982294,-76.36835603417246
48,351655.9958760397,8550787.198317887,45.0,1.850095540772776,73.06841178362794,1848.558609728629,0.7,-13.105576402296826,-76.36842843103145
49,348755.9958760397,8549537.198317887,12.0,1.3084424638581322,940.5756900970129,649.1662171034527,0.69,-13.116732942135354,-76.39523820793792
50,350455.9958760397,8551387.198317887,34.0,2.068290036560124,1164.4070619907702,2241.2063382540605,0.69,-13.100093400649872,-76.37946560502915
51,349605.9958760397,8549937.198317887,20.0,1.3084424638581322,83.31575913543321,840.7407346113538,0.69,-13.113159306828212,-76.38737824011407
52,349055.9958760397,8549587.198317887,18.0,1.3084424638581322,704.293617626804,700.0075444319592,0.69,-13.116295919873604,-76.39246871654078
53,350655.9958760397,8551487.198317887,34.0,2.923734619760068,942.2882028976934,2350.1965844420174,0.68,-13.099199260387646,-76.37761605852273
54,359255.9958760397,8548537.198317887,144.0,7.856741599733214,262.8795802836433,329.5807814066381,0.68,-13.126279694136906,-76.29844050669902
55,349205.9958760397,8555237.198317887,46.0,4.970758107604696,142.1102272099862,5401.686501467576,0.68,-13.065227549286934,-76.39079868522506
56,351805.9958760397,8551837.198317887,46.0,2.773938865193212,210.5238589274982,2905.767396743416,0.68,-13.096091683360036,-76.36699262412488
57,375255.9958760397,8566687.198317887,560.0,17.323883366565397,18021.90776699804,351.47927973420525,0.68,-12.962890494572022,-76.15009542779705
58,347055.9958760397,8550737.198317887,6.0,1.850095540772776,311.45046475549765,846.7249570441425,0.67,-13.105799664277988,-76.41085567755204
59,352905.9958760397,8550387.198317887,56.0,3.6963410627990174,371.0124772170914,1713.0931118964572,0.67,-13.109253388402776,-76.35691966677321
60,365555.9958760397,8552837.198317887,248.0,11.297462254247309,1953.513106853644,186.4928482564404,0.67,-13.087692105994726,-76.24013466991033
61,351855.9958760397,8550787.198317887,45.0,1.850095540772776,126.81278808705854,1906.6114664550128,0.67,-13.105586188890408,-76.36658386192661
62,350305.9958760397,8551287.198317887,33.0,2.6155216134963046,1299.8944343618368,2145.198317887261,0.65,-13.100989996340669,-76.38085403276305
63,349905.9958760397,8549987.198317887,27.0,2.6155216134963046,195.9264429696832,873.3309830662415,0.65,-13.112722194518534,-76.3846087944744
